,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
333,Sattahip,1606386,20,TH,1580073030,74,12.67,100.9,87.01,5.82
334,Yermolayevo,467246,100,RU,1580073031,95,52.72,55.8,14.11,8.3
335,Neiafu,4032420,75,TO,1580073033,83,-18.65,-173.98,77.0,4.54
336,Araouane,2460954,100,ML,1580073034,8,18.9,-3.53,77.34,5.77
337,Sirte,2210554,0,LY,1580073035,30,31.21,16.59,60.69,7.72
338,Beloha,1067565,9,MG,1580072826,68,-25.17,45.05,72.0,8.81
339,Evensk,2125693,100,RU,1580073037,80,61.95,159.23,13.01,11.27
340,Biltine,244878,0,TD,1580072889,15,14.53,20.92,63.1,10.76
341,Martapura,1636022,90,ID,1580072772,100,-3.42,114.85,77.0,3.36
342,Cairns,2172797,40,AU,1580073042,94,-16.92,145.77,79.0,3.36
343,Nome,5870133,1,US,1580072880,49,64.5,-165.41,-2.2,13.87
344,Guaruja,3461789,0,BR,1580072927,58,-23.99,-46.26,84.2,12.75
345,Mount Isa,2065594,40,AU,1580073047,100,-20.73,139.5,75.2,5.82
346,Cortland,5113792,90,US,1580073048,96,42.6,-76.08,39.0,6.93
347,Distrikt Brokopondo,3384481,75,SR,1580073049,89,4.75,-55.17,78.57,5.88
348,Upata,3625710,100,VE,1580073051,44,8.01,-62.4,85.32,3.15
349,Balgazyn,1510960,89,RU,1580073052,79,51.0,95.2,3.34,2.04
350,Antu,1278515,0,IN,1580073053,70,26.05,81.92,52.86,5.88
351,Cayenne,3382160,75,GF,1580073054,94,4.93,-52.33,77.0,4.7
352,Prince Rupert,6113406,90,CA,1580073055,86,54.32,-130.32,41.0,4.7
353,Aden,415189,32,YE,1580073052,69,12.78,45.04,78.35,7.9
354,Ulaangom,1515029,75,MN,1580073058,85,49.98,92.07,-4.54,4.5
355,Sao Joao da Barra,3448903,35,BR,1580073059,61,-21.64,-41.05,82.4,13.87
356,Gandai,1271734,0,IN,1580073060,43,21.67,81.1,61.48,2.71
357,Ixtapa,4004293,20,MX,1580072902,69,20.7,-105.2,80.01,9.17
358,Viedma,3832899,0,AR,1580073063,33,-40.81,-63.0,66.83,17.58
359,Lensk,2020838,100,RU,1580073064,90,60.73,114.93,11.91,12.46
360,Flinders,6255012,90,AU,1580073065,88,-34.58,150.86,73.99,4.7
361,Lethem,3379316,100,GY,1580073066,35,3.38,-59.8,95.77,12.17
362,Henties Bay,3356832,24,NA,1580073067,88,-22.12,14.28,64.0,4.0
363,Lodja,211647,94,CD,1580073069,62,-3.48,23.43,73.6,1.9
364,Altay,1529651,100,CN,1580073070,94,47.87,88.12,12.97,2.68
365,Kendari,1640344,73,ID,1580073071,97,-3.94,122.5,74.66,2.51
366,Hanna,5970234,100,CA,1580073072,93,51.63,-111.9,24.01,1.99
367,OEstersund,2685750,90,SE,1580072907,100,63.18,14.64,30.2,16.11
368,Bay Roberts,5895424,90,CA,1580073075,63,47.6,-53.26,30.0,5.82
369,Erzin,296852,2,TR,1580073076,80,36.96,36.2,55.4,5.82
370,Giddalur,1271213,14,IN,1580073077,79,15.35,78.92,67.41,0.69
371,Basoko,219414,17,CD,1580073079,35,1.24,23.62,73.78,1.43
372,Moose Factory,6078372,90,CA,1580073080,92,51.26,-80.61,24.8,9.17
373,Vardo,777019,20,NO,1580073081,67,70.37,31.11,19.4,35.57
374,Lorengau,2092164,75,PG,1580073082,80,-2.02,147.27,83.41,10.56
375,Lagoa,3372964,97,PT,1580072931,83,39.05,-27.98,62.33,14.54
376,Sakakah,102527,0,SA,1580072934,56,29.97,40.21,42.8,3.36
377,Kuhdasht,126409,0,IR,1580073086,69,33.53,47.61,31.95,1.34
378,Ulcinj,3188516,75,ME,1580073087,100,41.93,19.22,51.8,4.7
379,Nuuk,3421319,97,GL,1580073088,56,64.18,-51.72,12.2,10.29
380,Lukulu,909488,68,ZM,1580073089,85,-14.37,23.24,68.52,5.55
381,Mareeba,2158767,40,AU,1580073091,94,-17.0,145.43,79.0,3.36
382,Kikwit,2314705,100,CD,1580073093,63,-5.04,18.82,75.51,0.02
383,Bourail,2141714,82,NC,1580073094,69,-21.57,165.48,77.29,3.89
384,Krasnosel'kup,1502073,100,RU,1580073095,95,65.7,82.47,-0.24,9.35
385,Shingu,1847947,100,JP,1580073097,86,33.73,135.98,54.28,34.09
386,Quesnel,6115187,1,CA,1580073063,60,53.0,-122.5,42.8,20.8
387,Turukhansk,1488903,100,RU,1580073099,96,65.82,87.98,0.37,6.15
388,Vao,2137773,99,NC,1580072899,83,-22.67,167.48,77.68,12.97
389,Ozinki,513329,0,RU,1580073101,91,51.18,49.68,18.01,13.22
390,Puerto Escondido,3520994,5,MX,1580073103,66,15.85,-97.07,84.2,11.41
391,Changping,2038154,100,CN,1580073104,73,40.22,116.22,32.0,4.47
392,Thohoyandou,949224,0,ZA,1580073106,40,-22.95,30.48,78.51,2.75
393,Batagay-Alyta,2027042,0,RU,1580073107,44,67.8,130.41,-31.92,4.7
394,Mangai,2313084,69,CD,1580073108,58,-4.05,19.53,73.99,1.28
395,Ginda,1253628,0,IN,1580073109,43,30.69,78.49,38.48,4.23
396,Darhan,2031964,1,MN,1580073112,79,49.49,105.92,0.39,0.51
397,Codrington,2171099,100,AU,1580073113,80,-38.27,141.97,58.33,8.43
398,Manzhouli,2035836,73,CN,1580073114,100,49.6,117.43,-5.31,2.01
399,Tazovsky,1489853,74,RU,1580073115,97,67.47,78.7,-4.11,5.82
400,Ola,2122574,100,RU,1580073116,89,59.58,151.28,-3.37,14.67
401,Hofn,2630299,100,IS,1580073118,75,64.25,-15.21,37.94,28.25
402,Palmer,4946620,90,US,1580073119,56,42.16,-72.33,45.0,4.7
403,San Cristobal,3628473,75,VE,1580073121,69,7.77,-72.22,78.8,6.93
404,San Juan,3837213,0,AR,1580073122,21,-31.54,-68.54,97.95,13.33
405,Rozkishne,705104,0,UA,1580073123,91,48.5,37.59,29.48,7.56
406,Kushiro,2129376,0,JP,1580073124,80,42.98,144.37,17.31,5.53
407,Itupiranga,3397851,40,BR,1580073125,63,-5.13,-49.33,91.4,4.29
408,Reconquista,3429594,0,AR,1580073127,23,-29.15,-59.65,97.32,9.44
409,Severnyy,496358,75,RU,1580073128,69,50.68,36.55,33.8,13.42
410,Pangnirtung,6096551,5,CA,1580073129,60,66.15,-65.71,-27.4,3.36
411,Kuala Terengganu,1734705,40,MY,1580073130,88,5.33,103.14,78.8,0.47
412,Coruripe,3465329,42,BR,1580073003,81,-10.13,-36.18,81.16,18.19
413,Harper,2276492,38,LR,1580073134,90,4.38,-7.72,78.75,2.3
414,Robertsport,2274275,68,LR,1580073136,81,6.75,-11.37,81.1,14.2
415,Micheweni,153955,100,TZ,1580073138,85,-4.97,39.83,81.59,4.32
416,Gwadar,1177446,44,PK,1580073139,60,25.12,62.33,68.76,26.71
417,Aksu,1529660,97,CN,1580073140,67,41.12,80.26,23.38,1.57
418,Kiryat Gat,293842,0,IL,1580072890,81,31.61,34.76,50.0,4.7
419,Rio Grande,3451138,20,BR,1580073143,55,-32.03,-52.1,89.6,13.87
420,Oksfjord,778362,75,NO,1580073144,85,70.24,22.35,17.6,3.36
421,Udarnyy,826996,100,RU,1580073146,93,54.34,42.86,26.94,13.56
422,Gayeri,2360541,4,BF,1580073148,9,12.65,0.49,73.31,9.93
423,Tulun,2014927,100,RU,1580073149,96,54.56,100.58,18.23,1.97
424,Laerdalsoyri,3148569,75,NO,1580073151,74,61.1,7.48,37.4,23.04
425,Inhambane,1045114,12,MZ,1580073152,75,-23.86,35.38,80.6,14.54
426,Bubaque,2374583,100,GW,1580072894,59,11.28,-15.83,80.01,9.73
427,Nehe,2035610,96,CN,1580073155,99,48.48,124.83,-0.74,5.66
428,Gornopravdinsk,1506268,100,RU,1580073156,94,60.05,69.9,15.87,7.83
429,Alta Floresta,6316343,40,BR,1580072944,59,-9.88,-56.09,91.4,4.7
430,Puerto Gaitan,3769976,41,CO,1580073042,32,4.31,-72.08,96.71,9.35
431,Imeni Poliny Osipenko,2023584,0,RU,1580073160,97,52.42,136.49,-15.66,5.53
432,Bac Lieu,1591474,5,VN,1580073162,93,9.29,105.72,70.86,4.45
433,Korla,1529376,39,CN,1580072902,50,41.76,86.15,14.54,2.15
434,Ust-Nera,2120048,100,RU,1580073165,100,64.57,143.2,-36.78,2.95
435,Payo,1638775,100,ID,1580073166,97,-3.75,103.64,68.09,1.3
436,Sioux Lookout,6148373,90,CA,1580073167,85,50.1,-91.92,17.6,3.36
437,Nikolayevsk-on-Amure,2122850,0,RU,1580073169,89,53.14,140.73,-16.58,5.97
438,Porirua,2184397,100,NZ,1580072928,93,-41.13,174.85,66.2,27.51
439,Faanui,4034551,100,PF,1580073167,74,-16.48,-151.75,83.07,11.05
440,Zheleznodorozhnyy,463355,75,RU,1580073173,94,55.75,38.0,33.8,13.42
441,Saskylakh,2017155,100,RU,1580073174,97,71.92,114.08,-20.2,8.72
442,Srikakulam,1255647,0,IN,1580073113,93,18.3,83.9,67.6,2.71
443,Madimba,878141,100,TZ,1580073178,82,-10.4,40.33,80.94,7.34
444,Uaua,3385883,100,BR,1580073179,94,-9.84,-39.48,70.63,6.53
445,Orlik,1496073,0,RU,1580073180,67,52.52,99.83,-3.64,2.91
446,Senno,497024,66,RU,1580073182,91,59.53,33.92,26.01,1.99
447,Svobodnyy,2015833,100,RU,1580073183,99,51.4,128.13,-10.89,6.98
448,Tanhacu,3446971,100,BR,1580073184,96,-14.02,-41.25,71.1,0.45
449,Beni Suef,359173,70,EG,1580073185,52,29.07,31.1,48.45,8.3
450,Caravelas,3466980,87,BR,1580072941,83,-17.71,-39.25,79.59,17.31
451,Santa Maria Visitacion,3589247,40,GT,1580073188,46,14.72,-91.32,91.4,6.93
452,Key West,4160812,1,US,1580073048,49,24.56,-81.78,69.8,11.41
453,Vestmannaeyjar,3412093,100,IS,1580073191,59,63.44,-20.27,38.46,21.45
454,Kungurtug,1501377,100,RU,1580073192,77,50.6,97.52,7.92,1.19
455,Tuy Hoa,1563281,100,VN,1580073117,83,13.08,109.3,74.46,18.66
456,Kosa,544318,100,RU,1580073195,95,59.94,55.0,1.2,5.64
457,Mehamn,778707,75,NO,1580073196,57,71.04,27.85,23.0,24.16
458,Bud,4255151,40,US,1580073197,82,39.45,-86.18,45.0,9.17
459,Komsomolets,1522348,0,KZ,1580073198,88,53.75,62.07,11.03,10.07
460,Ullapool,2635199,16,GB,1580073199,76,57.9,-5.16,35.01,5.99
461,Stephenville Crossing,6156245,90,CA,1580073201,68,48.5,-58.43,28.4,12.75
462,Kyra,2021041,26,RU,1580073202,77,49.58,111.98,2.3,2.57
463,Savinka,498295,31,RU,1580073203,89,50.08,47.1,20.64,11.05
464,Kahului,5847411,20,US,1580072915,61,20.89,-156.47,78.8,9.17
465,Bani,3512067,75,DO,1580073205,69,18.28,-70.33,82.4,5.82
466,Belmonte,3470137,75,BR,1580073207,83,-15.86,-38.88,84.2,4.7
467,Kirakira,2178753,83,SB,1580073208,81,-10.45,161.92,81.12,4.7
468,Tyukalinsk,1488780,100,RU,1580073209,94,55.87,72.2,23.2,18.37
469,Solton,1491428,21,RU,1580073210,86,52.84,86.48,7.0,2.68
470,Kisangani,212730,33,CD,1580073213,41,0.52,25.2,73.74,1.74
471,Half Moon Bay,5354943,75,US,1580073214,93,37.46,-122.43,63.0,10.29
472,Bousso,2434584,0,TD,1580073215,12,10.48,16.71,70.11,6.64
473,Rochegda,501847,98,RU,1580073216,97,62.8,43.25,2.91,2.39
474,Ivanovka,1528252,90,KG,1580073218,85,42.89,75.08,19.4,2.24
475,Tiksi,2015306,0,RU,1580073219,73,71.69,128.87,-32.82,2.46
476,La Rioja,3336897,78,ES,1580073220,93,42.25,-2.5,39.2,4.7
477,Soresina,3166365,5,IT,1580073221,100,45.29,9.86,45.0,2.24
478,Nanakuli,5851349,75,US,1580073223,69,21.39,-158.15,80.6,8.05
479,Nerang,2155542,75,AU,1580073224,83,-27.98,153.33,82.0,4.7
480,Susangerd,137268,0,IR,1580073225,70,31.56,48.18,48.2,6.93
481,Brownsville,4676740,100,US,1580073226,51,25.9,-97.5,82.99,13.87
482,Muyezerskiy,524100,10,RU,1580073227,90,63.93,31.65,9.36,7.85
483,Coos Bay,5720495,75,US,1580073086,76,43.37,-124.22,57.99,17.22
484,Frontera,3980180,0,MX,1580073230,24,26.93,-101.45,79.83,4.34
485,Pocone,3453315,83,BR,1580073232,73,-16.26,-56.62,86.16,4.05
486,Matay,352628,99,EG,1580073049,41,28.42,30.78,48.7,6.62
487,Abaza,1512205,73,RU,1580073236,93,52.66,90.09,7.32,3.42
488,Broome,5110365,90,US,1580073237,74,42.25,-75.83,39.0,11.41
489,Mendi,2090990,81,PG,1580073238,97,-6.18,143.65,52.47,3.89
490,Walvis Bay,3359638,0,NA,1580073239,77,-22.96,14.51,64.4,5.82
491,Okahandja,3354898,1,NA,1580073241,13,-21.98,16.92,75.2,5.82
492,Ati,2436400,0,TD,1580073242,12,13.22,18.34,68.04,10.83
493,Shubarshi,608270,100,KZ,1580073243,92,48.59,57.19,23.99,19.15
494,Iwanai,2129868,100,JP,1580073244,80,42.97,140.51,24.31,6.71
495,Pandan,1695546,71,PH,1580073237,80,14.05,124.17,79.5,3.51
496,Manokwari,1636308,100,ID,1580073247,76,-0.87,134.08,73.74,3.74
497,Port Said,358619,49,EG,1580073248,71,31.26,32.28,57.2,2.24
498,Batagay,2027044,0,RU,1580073249,85,67.63,134.63,-44.01,1.72
499,Belyy Yar,1510377,67,RU,1580073250,85,53.6,91.39,10.4,2.24
500,Aljezur,2271968,0,PT,1580073251,87,37.32,-8.8,57.99,1.01
501,Concordia,3435261,75,AR,1580073253,46,-31.39,-58.02,91.4,16.11
502,Iquitos,3696183,75,PE,1580073254,100,-3.75,-73.25,42.8,4.7
503,La Ronge,6050066,90,CA,1580073165,92,55.1,-105.28,21.2,8.05
504,Oktyabrskoye,515805,42,RU,1580073256,76,43.06,44.74,26.06,3.09
505,Utiel,2510075,20,ES,1580073257,93,39.57,-1.2,51.01,4.7
506,Meridian,5600685,75,US,1580073136,100,43.61,-116.39,45.0,5.82
507,Jiran,1268893,0,IN,1580073260,47,24.32,74.88,59.94,6.55
508,Fare,4034496,5,PF,1580073261,75,-16.7,-151.02,82.94,11.03
509,Porbandar,1259395,0,IN,1580073263,79,21.64,69.61,72.03,13.96
510,Aban,1512218,97,RU,1580073265,88,56.67,96.06,8.73,7.74
511,Camana,3945985,100,PE,1580073266,73,-16.62,-72.71,72.43,10.96
512,Puerto Guzman,3792398,85,CO,1580073267,64,0.97,-76.59,83.08,1.48
513,Jackson,5733351,75,US,1580073173,62,42.42,-122.83,55.4,4.7
514,Cochrane,5924618,40,CA,1580073270,63,51.18,-114.47,37.0,5.82
515,Anuradhapura,1251081,82,LK,1580073271,93,8.36,80.42,66.9,3.29
516,Los Algarrobos,3705562,40,PA,1580073272,70,8.5,-82.43,86.0,8.05
517,Muros,3115824,75,ES,1580073273,87,42.78,-9.06,60.01,13.87
518,Hohhot,2036892,100,CN,1580073275,72,40.81,111.65,12.2,4.47
519,Udalguri,1253977,88,IN,1580073276,63,26.77,92.13,40.46,6.49
520,Buala,2109528,100,SB,1580073277,77,-8.14,159.59,81.34,4.97
521,Ayios Ioannis,146669,0,CY,1580073278,81,34.9,33.02,52.0,1.12
522,Calvinia,3369174,0,ZA,1580073279,38,-31.47,19.78,58.71,9.86
523,Sikandarpur,1256328,0,IN,1580073281,75,26.05,84.05,51.78,6.15
524,Srednekolymsk,2121025,100,RU,1580073282,95,67.45,153.68,-27.35,5.01
525,Tombouctou,2449066,100,ML,1580073283,10,20.0,-3.0,72.82,2.33
526,Trairi,3386177,100,BR,1580073207,90,-3.28,-39.27,77.7,3.98
527,Lincoln,5072006,1,US,1580073160,75,40.8,-96.67,44.6,5.28
528,Yuzhno-Kurilsk,2119447,100,RU,1580073288,76,44.03,145.86,24.62,20.42
529,Luhyny,702679,6,UA,1580073289,93,51.08,28.4,30.02,5.95
530,Ous,1495812,100,RU,1580073290,96,60.91,61.52,-3.03,6.82
531,Maromitsa,529051,97,RU,1580073291,98,59.87,48.01,-3.35,3.29
532,Nacala,1035025,36,MZ,1580073293,96,-14.54,40.67,74.03,2.26
533,Isangel,2136825,42,VU,1580073294,83,-19.55,169.27,78.71,13.44
534,Kampot,1831112,40,KH,1580073295,94,10.62,104.18,73.4,2.24
535,Marawi,1701054,85,PH,1580073296,93,8.0,124.29,75.0,5.01
536,Yaring,1604771,99,TH,1580073297,73,6.87,101.37,79.36,5.66
537,Rincon,4218882,20,US,1580073126,31,32.3,-81.24,62.01,8.05
538,Semey,1519422,62,KZ,1580073300,72,50.41,80.23,8.73,13.04
539,Castro-Urdiales,3125621,98,ES,1580073301,61,43.38,-3.22,55.0,3.36
540,Aswan,359792,0,EG,1580073302,55,24.09,32.91,53.38,11.36
541,Gubkinskiy,1539209,95,RU,1580073303,99,64.43,76.5,-4.95,9.55
542,Mayumba,2399001,100,GA,1580073305,79,-3.43,10.66,82.08,6.49
543,Safi,2537881,0,MA,1580073306,87,32.3,-9.24,52.23,9.69
544,Porto Velho,3662762,40,BR,1580073200,47,-8.76,-63.9,95.0,2.24
545,Ambon,1651531,100,ID,1580073308,76,-3.7,128.18,81.14,4.56
